"Title","Body","Date","Tags","Program","Story Type"
"Black History Month","<p>February is Black History Month, and this year, there is much to celebrate! 2014 marks the 50th anniversary of the Civil Rights Act and the 150th anniversary of emancipation in Maryland. This year we have an amazing opportunity to recognize the Marylanders who fought for freedom from slavery and their descendants, who continue to struggle and triumph. I hope that, throughout the month, you will take the opportunity to seek out these stories.</p><p> Stories like that of Anne Brown (1912 – 2009), the native daughter of Baltimore who originated the role of Bess in George Gershwin’s Porgy & Bess. Earlier today, we were privileged to hear Brown’s story, presented through story and song by award-winning operatic recitalist, recording artist, actress, and author Bridgette “Bri” Cooper. Ms. Cooper has been named one of the Voices of the New Millennium, and was honored to be the first classical singer featured in Black Enterprise Magazine.</p><p> This performance was part of It’s More Than History!—a lunch & learn lecture series presented by the Baltimore National Heritage Area in conjunction with my office. In Commemoration of Black History Month, the February series of It’s More Than History! honors Baltimore’s African American community and contributions to music and the arts. Join us in City Hall at noon on February 21 for the next lecture in the series, which tells the story of Ellis Larkins, Baltimore’s “poet of the piano.” Events like this are taking place throughout the city during the whole month.</p><p> Last Saturday, I was pleased to join Congressman Elijah Cummings and featured guest Congressman John Lewis for the Enoch Pratt Free Library’s Black History Month kickoff, its 26th annual Booklovers’ Breakfast. Congressman Lewis—a U.S. Representative from Georgia—has spent his life honoring our nation’s African American heritage and fighting for equality and civil rights. In fact, he is the last surviving member of the “Big Six” leaders of the Civil Rights Movement. Hundreds of residents from book clubs across Baltimore attended the event, and it was an exciting reminder that great deeds are not confined to just history books.</p><p> Black History Month is also an opportunity for us to mobilize to overcome the challenges that are still far too prevalent in our communities of color. Today I joined with Baltimore Health Commissioner Dr. Oxiris Barbot, Councilman Nick Mosby, and members of the community to recognize National Black HIV/AIDS Awareness Day. In Baltimore City, African Americans account for 85% of all diagnosed HIV/AIDS cases. African Americans face the most severe HIV/AIDS burden of any ethnic group in the nation. This is an epidemic that disproportionately affects our black communities, and we must take action to stem the tide of new infections.</p><p> The stigma, fear, and silence associated with HIV/AIDS only serve to increase the risk of infection and decrease willingness to know one’s status. In Baltimore, no one should suffer in silence. Thanks to the leadership of the Baltimore City Health Department and partners like Total Healthcare, prevention efforts have helped to maintain stability in the overall level of HIV infections among African Americans for more than a decade, but we must pull together as a community. Get educated. Get tested. Get involved. And if you are currently living with HIV/AIDS, don’t be afraid or ashamed to get treated.</p><p> As we celebrate the heritage of our wonderfully diverse nation, let us bear in mind that our collective Baltimore story is not finished. The stories of our forebears that are recounted throughout Black History Month are a beginning. Through our continued commitment, passion, and courage, we will have many more stories to tell in years to come.</p>","2/7/2014","Stronger Neighborhoods, Cleaner and Healthier City, Rawlings-Blake Review","Stronger Neighborhoods, Cleaner and Healthier City","The Rawlings-Blake Review"
"Partnership for Jobs","<p>The Horseshoe Baltimore Casino will serve as an economic engine, driving new jobs, tax revenues, and increased development. From the beginning, Horseshoe has been committed to promoting local hiring and working with the Mayor’s Office of Employment Development to provide Baltimore City residents with information and access to the 1,700 jobs that it will create. The strong public-private partnership between the City and Horseshoe has resulted in a comprehensive recruitment strategy that could not have come at a better time, as many families are struggling to find job opportunities.</p><p> Last week, we announced the details of this expansive hiring program, which begins next month. Horseshoe Baltimore, working with the Mayor’s Office of Employment Development (MOED) and the Baltimore City Council, will conduct city-wide outreach to educate residents about available positions, job qualifications, and the application process.</p><p> The Horseshoe team and MOED will hold a number of neighborhood-based recruitment events. The team will employ promotion methods ranging from neighborhood canvassing to social media campaigns—in partnership with a wide range of community groups, neighborhood associations, and civic organizations—to spread the word. A complete schedule of neighborhood recruitment events is available at www.horseshoebaltimore.com.</p><p> As an additional resource, job seekers can enroll in Horseshoe Baltimore’s Legendary Candidates Academy, a series of two-day, six-hour training sessions operated at locations throughout the city in conjunction with MOED and its workforce partners. The sessions will provide in-depth information about the requirements for various positions, outline the pre-employment process, underscore Horseshoe Baltimore’s emphasis on exceptional customer service, and prepare candidates for position-specific interviews. Job seekers who successfully complete the Academy will receive special hiring consideration.</p><p> Horseshoe will promote open positions through the Baltimore City and Maryland chambers of commerce, and through partnerships with local colleges and universities, philanthropies, religious organizations, the National Pan-Hellenic Council (Divine Nine), and the Enoch Pratt Free Library. In addition, Horseshoe will utilize paid advertising, social media, and community association meetings to spread the work about employment opportunities.</p><p> Finally, Horseshoe Baltimore will host a series of large-scale hiring events at the Baltimore Convention Center (March 7 – 9), Hyatt Regency Baltimore (May 3 – 5), and M&T Bank Stadium (May 19 – 21).</p><p> We are pulling out all the stops to make sure that Baltimore residents have every opportunity to learn about and apply for jobs at the Casino. Horseshoe Baltimore means more business for our local tourism and hospitality economy. It means even more investment for a gateway into Baltimore. It means revenue to reduce property taxes and invest in our children’s education. And it means jobs for our residents.</p>","2/3/2014","Growing Economy, Rawlings-Blake Review","Growing Economy","The Rawlings-Blake Review"
"A Safer City","<p>My administration’s top priority is to reduce crime in Baltimore.</p><p> Our crime fighting strategy is centered on apprehending the most violent repeat offenders, gangs, and drug dealers. When we released a strategic plan for the police department late last year, the report made clear that this is the right strategy. And I want to thank the Baltimore Police Department for all their hard work in 2013, including helping to take more than 1,800 guns off of Baltimore City streets and making more than 1,000 arrests of repeat and violent offenders.</p><p> But we must improve our execution of that strategy and build relationships between police and the community to begin seeing the crime reductions we all want to see.</p><p> Crime is down in virtually every major category but our homicide rate remains stubbornly high. There is too much blood being shed on our city streets and too many lives lost to senseless violence. We know that our current challenges will not improve with just a few thoughtful gestures or comments, and that it will require all of us to do a little more.</p><p> I am committed to driving violent crime down while maintaining a high level of mutual trust and confidence between police and the community. I refuse to accept the current situation as a way of life. Working together we can make Baltimore a safer place, now and in the future.</p>","1/17/2014","Safer Streets, Rawlings-Blake Review","Safer Streets","The Rawlings-Blake Review"
"Ensuring Food Access","<p>Earlier today, I announced the release of a new Prequalification Application for the Homegrown Baltimore Land Leasing Initiative, a partnership of the Baltimore Office of Sustainability and the City’s Department of Housing & Community Development. The initiative helps experienced farmers who are interested in creating nonprofit or for-profit urban farming ventures to lease vacant parcels of City-owned land. The newly released application builds on a 2011 pilot, which has already resulted in the execution of two urban farm leases covering three acres of City-owned land. Approximately 20 additional acres of vacant land are anticipated to be leased to farmers in the next 10 years. The new application will be open indefinitely, and farmers may apply at any time.</p><p> This announcement follows the adoption last month of Homegrown Baltimore: Grow Local, Baltimore’s Urban Agriculture Plan, which serves as a road map for the future of agriculture in Baltimore City. The plan offers history and context, and gives 25 detailed recommendations on how to effectively provide the land, water, soil, and access to capital that farmers need to continue to transform vacant land into valuable assets.</p><p> We have implemented a comprehensive plan that will guide our efforts to develop a local food system, support food production & food access in the city, and help revitalize Baltimore's communities through farming. With my Get Fresh initiative, we are also making great strides in improving access to local, affordable, and nutritious foods in Baltimore’s public markets.</p><p> Our public markets are some of the oldest and best in the nation, and they have been a priority for my administration. We have completed major renovations at the Avenue Market, Broadway Market, and just this week, Northeast Market.</p><p> The Northeast Market renovation focused on improvements that are visible, helping to change the perception of the market and encourage addition investment. But we also made some changes to promote healthy lifestyles. Ten vendors have agreed to participate in the Get Fresh initiative by putting green leaf labels on their menus to indicate healthier items. The market has also constructed a new day stall, which will be used for health & nutrition education, health screenings, and other health programs.</p><p> Considering the significant progress Baltimore has made for urban agriculture and food access, it is critical for Congress to pass a farm bill that will do the same. If Congress is unable to reach an agreement on a new bill that will support local foods, small & beginning farmers, and the Supplemental Nutrition Assistance Program (SNAP) by December 31, growers and consumers will be significantly impacted.</p><p> The non-partisan Congressional Budget Office rated an increase in SNAP benefits as one of the two most cost-effective methods for boosting growth and jobs when the economy is weak. In 2012, SNAP kept nearly 5 million Americans out of poverty, including 2.2 million children. In More than 30 percent of Baltimore’s residents receive SNAP benefits—approximately 190,000 people. The farm bill has real consequences for families struggling to put food on the table, and time is of the essence.</p>","12/13/2013","Cleaner and Healthier City, Innovative Government, Stronger Neighborhoods, Rawlings-Blake Review","Cleaner and Healthier City, Innovative Government, Stronger Neighborhoods","The Rawlings-Blake Review"
"Season of Giving","<p>December 3, 2013 was the second annual #GivingTuesday. This initiative, which began in New York City, has spread across the world. In a growing economy that is bolstered by unofficial ‘holidays’ like Black Friday, Small Business Saturday, and Cyber Monday, #GivingTuesday urges everyone to devote the day to charity, give back to the community, and spread the word via social media or any means possible.</p><p> This year’s #GivingTuesday was particularly exciting in Baltimore, as we proved that we are the most generous city in America. I joined with local businesses and nonprofits to encourage Baltimore residents to give. The local campaign, Bmore Gives More, was organized by GiveCorps and set out to raise $5 million in just one day for more than 200 charitable organizations in Baltimore.</p><p> Donation incentives were offered throughout the day by local businesses, including B Bistro, Birrotecca, Dooby’s, Fleet Street Kitchen, Gertrude’s, Joe Squared, Tapas Teatro, Ten Ten, and The Helmand Restaurant. The Associated: Jewish Community Federation of Baltimore held an all-day phone-a-thon. CrossFit Federal Hill sponsored a BMGM workout of the day and set out a donation change jar. Some businesses even created special BMGM items and donated a percentage of the proceeds or provided matching funds from those items for #GivingTuesday.</p><p> Baltimore really stepped up to the plate. At the end of the day, not only had we met our $5 million goal, but we exceeded it by at least half a million dollars. Hundreds of local charities and programs will benefit from the generosity shown by Baltimoreans on #GivingTuesday. I want to thank everyone who made the Bmore Gives More initiative a resounding success.</p><p> I also want to take a moment to thank the Baltimore City employees who roll up their sleeves every day to provide the services that keep Baltimore running. Last week, I visited a number of City employees in their places of work to express my gratitude for their service.</p><p> I stopped by the Thomas J. Burke Fire Station (Oldtown) to visit with members of the Baltimore City Fire Department (BCFD). A number of changes have taken place at the station in the past year—over $300,000 in renovation and construction. Oldtown is also home to some of our newest fire apparatus. The men and women of the BCFD, under the leadership of Acting Fire Chief Jeffrey Segal, are truly heroes, and I was thankful for the opportunity to personally thank them for their service and commitment to making Baltimore a safer city.</p><p> I also visited the Mayor’s Office of Information Technology (MOIT), which is responsible for leveraging information technology to enhance productivity, broaden our capabilities, and reduce the City’s operating costs. The talented and dedicated MOIT staff, led by CIO Chris Tonjes, have given us a year of great accomplishments, including advances in bridging the digital divide, implementing next generation infrastructure, and building a more innovative, transparent government. You may or may not know that the men and women of MOIT are responsible for operation of the City's 311 dispatch center—which operates 365 days a year—and the City’s CCTV crime prevention system, CitiWatch. I can't wait to see even more innovation from them in the future.</p><p> I want to, again, thank everyone at BCFD and MOIT for the work they do every day. I look forward visiting with employees at other City agencies in the new year.</p><p> During this season of giving, it is great to know that Baltimore IS the most generous city in America. I have always said that in Baltimore, we come together, we roll up our sleeves, and we get things done.</p>","12/9/2013","Stronger Neighborhoods, Innovative Government, Rawlings-Blake Review","Stronger Neighborhoods, Innovative Government","The Rawlings-Blake Review"
"Mayor for a Day","<p>I hope you had a wonderful Thanksgiving! As we work each day to help Baltimore City overcome its challenges and become the great American city that we know it can be—and as we focus on these challenges and opportunities for growth—it is important that we not lose sight of all that we have to be thankful for.</p><p> Earlier this week, I had the privilege of spending the day with a couple of Baltimore’s outstanding youths, whom I invited to be Mayor for a Day. Let me introduce these two exemplary young women.</p><p> Michaela Smith attends Roland Park Elementary/Middle School. She was recently crowned Miss Maryland Junior High School. She loves helping and improving her community and has been working on a project to eradicate bullying. Michaela’s mother is a breast cancer survivor, which has impacted the way Michaela views service. She has dedicated the efforts of her own business, Hairbands for Hope, to raise over $500 to support Susan G. Komen.</p><p> Asia McCallum is a senior at Forest Park High. She is currently building a nonprofit called The Optimistic Party and working to obtain patents for a number of products. Asia recently competed in the Network for Teaching Entrepreneurship National Youth Entrepreneurship Challenge with her business Fortunate!, which sells jumbo, personality-filled fortune cookies. She is a regional winner of the Scholastic Writing Awards and a Youth Service America grantee. Asia has a passion for environmental conservation and has been a work study student at the National Aquarium for the last three years.</p><p> After I welcomed Mayor Michaela and Mayor Asia to City Hall, our first stop was a ceremonial groundbreaking for the new MTA bus maintenance facility at Kirk Avenue. Michaela and Asia met some of our local, state, and federal elected officials at the groundbreaking, and saw how these three levels of government are able to work together in partnership to get great things done in our city.</p><p> After the groundbreaking, we headed to the Northwest Community Action Center and then to Moveable Feast. Throughout the month of November, City employees have collected non-perishable food items to provide Thanksgiving relief to families in need. Since Michaela and Asia are both involved in community service, it was a great opportunity for them to make connections and to offer service to others.</p><p> Our final stop for the afternoon was a meeting of the Mayor’s Coalition on Supplier Diversity and Inclusion. This newly sworn commission works to ensure that the City’s minority and women-owned business development programs are doing as much as possible to provide equal opportunity for Baltimore’s minority and women-owned businesses. This was a particularly enlightening meeting for these young ladies, as entrepreneurs.</p><p> It is my hope that Mayor for a Day gave these young women—future leaders in Baltimore's communities—a valuable glimpse into city government. But the program was not just a great opportunity for Mayor Michaela and Mayor Asia. I am also thankful for the opportunity that I had to spend the day with these promising young women. Their excitement, eagerness, and optimism are exactly the qualities we need to build a better, safer, stronger Baltimore. Mayor for a Day was a great success, and I will make sure that our children continue to have opportunities like this in the future.</p>","11/29/2013","Innovative Government, Rawlings-Blake Review","Innovative Government","The Rawlings-Blake Review"
"Safer Streets","<p>Earlier this week, I joined Police Commissioner Anthony W. Batts and community leaders committed to reducing crime in Baltimore City to release the new strategic plan for the Baltimore Police Department. The report, entitled Public Safety in the City of Baltimore: A Strategic Plan for Improvement, contains comprehensive and far-ranging recommendations, including the implementation of best practices seen across the country.</p><p> Reducing crime is my administration’s top priority. We have made progress, but none of us are satisfied. I will never shake the feeling I get from having to console a family who has lost a loved one to senseless violence. Their faces and their stories continue to strengthen my resolve in fighting for a safer Baltimore.</p><p> The new strategic plan provides us with a thoughtful set of recommendations for how to more effectively move forward and meet the current challenges we face in the fight against crime. It details steps the police department will undertake over the next five years to reduce crime, improve services, increase efficiency, redouble community engagement, and maintain the highest standards of accountability and ethical integrity.</p><p> The report is the result of a months-long top-down review of the Baltimore Police Department, conducted by the Strategic Police Partnership, led by Robert Wasserman, along with the Bratton Group, comprised of nationally recognized law enforcement experts. The comprehensive review provided a thorough and stringent analysis of practices, methods, and procedures across all nine police districts and through every unit in the agency.</p><p> Commissioner Batts echoed my sentiments when he said, “We know that there are things as an organization that we are incredibly good at. We also know there exist areas that can be improved. It is my goal to give the officers protecting this city the tools to do their job better…faster…smarter. The strategic recommendations presented [in the plan] are a road map to that goal.”</p><p> Even before the report was released, we had already put in place many of its recommended reforms. Our strategy to reduce crime throughout the city by targeting illegal guns, gang activity, and repeat violent offenders correlates directly with the strategic plan. The police department’s renewed focus on community relations and engagement are also mirrored in the report.</p><p> We have implemented reforms including improvements to suspect identification procedures, upgrades to law enforcement equipment, the creation of a Telephone Reporting Unit and Professional Standards Bureau, and modifications to the speed at which data is collected and resources are allocated.</p><p> If you would like to know more about the future direction of our crime fighting efforts, Public Safety in the City of Baltimore: A Strategic Plan for Improvement can be read in its entirety online.</p>","11/22/2013","Safer Streets, Innovative Government, Rawlings-Blake Review","Safer Streets, Innovative Government","The Rawlings-Blake Review"
"Vacants to Value","<p>This past Tuesday, we celebrated the third anniversary of Baltimore’s acclaimed Vacants to Value initiative. When I formed Vacants to Value, the mission was clear: to get Baltimore’s vacant and abandoned properties cleaned up and redeveloped more quickly, more efficiently, and more economically.</p><p> Three years later, Vacants to Value has helped to initiate the rehabilitation of 1,400 vacant properties, demolition of 700 dilapidated structures, and adoption & greening of over 800 lots by community groups. Over 500 homebuyer assistance grants have been awarded through the program.</p><p> But our work is far from done. This week we redoubled our efforts by re-launching Vacants to Value with a fresh look and a new website, as well as an upgraded Baltimore Homeownership Incentives Program (B-HiP). With the new B-HiP, we are increasing Baltimore City employee homeownership incentives from $3,000 to $5,000 and increasing Live Baltimore’s Buying Into Baltimore incentive from $4,000 to $5,000. We are also campaigning to double employer and employee participation in the Live Near Your Work.</p><p> This is an exciting time for our city—particularly for all of the neighborhoods across Baltimore that are being improved because of this innovative program. Baltimore is steeped in history, culture, and pride. Our more than 200 neighborhoods make up the urban heart of Maryland, and Vacants to Value is about preserving and enhancing the splendor of this magnificent city. It’s about attracting new residents and bringing relief to families that have called Baltimore home for decades.</p><p> For me, the true measure of success is in the faces of the communities—and families—that are being transformed for the better because of our efforts.</p><p> On Tuesday I was pleased to stand with Ms. Cynite Cooke on the steps of what is soon to be her new home—a formerly vacant property that is being rehabilitated through Vacants to Value. Ms. Cooke moved to Baltimore to work as a teacher for Baltimore City Public Schools. After living here for a few years, she decided to put down roots in the city by taking advantage of the numerous homeownership incentives we have put in place. Her heart has been in Baltimore for years, but with the help of Vacants to Value, she is now able to make Baltimore her home. Stories like Ms. Cooke’s are happening all over Baltimore and are exactly how we will grow our city one resident at a time.</p><p> Our third anniversary celebration culminated with the latest Vacants to Value demolition success story. After years of waiting, community members watched as a number of blighted structures in the 1300 block of Hillman Avenue were finally torn down. After the space is cleared, beginning next year we are going to consolidate the lots and lease the space out as an urban farm.</p><p> I am committed to working every day to make each community in Baltimore stronger, and I’m grateful to be mayor of a city with so many community partners who are willing to step up and work with government to move our city forward. Let’s keep up the fight, and together, I know we can make Baltimore’s future even brighter.</p>","11/15/2013","Stronger Neighborhoods, Innovative Government, Rawlings-Blake Review","Stronger Neighborhoods, Innovative Government","The Rawlings-Blake Review"
"Ensuring Economic Opportunity","<p>One of my top priorities is to ensure that all businesses have the opportunity to compete and succeed. My goal of growing the city by 10,000 families cannot happen without the growth of small and independent businesses that create jobs and economic opportunity for all. Our minority-owned and women-owned business enterprises (MWBEs) are essential for Baltimore’s growth.</p><p> In keeping with our vision of creating a business-friendly Baltimore, I designated October 28 – November 1, 2013 as Supplier Diversity and Inclusion Week in Baltimore. Activities during the week have provided a forum to recognize and strengthen small, minority-owned, and women-owned businesses. One of the anchors of Supplier Diversity and Inclusion Week was the 7th annual Top 100 MBE Awards, which highlighted some of the region’s most extraordinary MWBEs.</p><p> The Top 100 MBEs program is a region-wide effort, recognizing minority- and women-owned businesses in Maryland, Pennsylvania, Virginia, Delaware, and the District of Columbia. Each of the Top 100 MBEs serves, in one way or another, as a model for success and an example of the tremendous impact that the MWBE community is having on our nation and our economy. As mayor of Baltimore, I am thrilled to congratulate the 2013 Top 100 MBEs and thank the entire regional MWBE community for their work to strengthen this pillar of a growing economy.</p><p> MWBEs are major contributors to our national, state, and local economies, which add great value to the City of Baltimore. Successful entrepreneurial undertakings like these provide jobs, promote economic growth, and diversify our economy—attracting new residents and improving the quality of life in our communities.</p><p> Minority- and women-owned businesses continue to progress and succeed against very real challenges, including disparity in access to venture capital and deal flow, as well as roadblocks in obtaining critical, timely information—particularly when it comes to government and private procurement. I understand the importance of diversity in business all too well, and I am serious about equitable inclusion.</p><p> I want Baltimore to become an entrepreneurial Mecca. I want our city to attract businesses from across the nation and around the globe, to focus on retaining and growing the businesses that we already have, and to invest in promising new ventures for Baltimore’s citizens. The City of Baltimore is committed to the success of minority- and women-owned businesses, and we are constantly working toward this goal.</p><p> Earlier this year, the Mayor’s Advisory Council on Minority and Women-Owned Business Enterprises—comprised of local business leaders and nationally-renowned experts—released its report, A New Day, A Better Way, after an extensive examination of best practices. The advisory council made bold suggestions to address fundamental obstacles in City’s MWBE program, creating a platform for the program’s future direction.</p><p> Just last month, I announced that Baltimore has been awarded a $900,000 grant from the U.S. Department of Commerce's Minority Business Development Agency (MBDA) to operate a business center that will facilitate collaborative efforts among minority-owned firms and Fortune 500 companies, broadening our MWBEs’ access to resources on a national level. The MBDA Business Center will actively work to address the under-representation of MWBE firms in the mainstream business marketplace.</p><p> To continue the work of the Mayor’s Advisory Council on Minority and Women-Owned Business Enterprises, I have formed the Mayor’s Coalition on Supplier Diversity and Inclusion. The coalition, which has already begun its work, will advise the City on matters related to inclusion and diversity and ask the tough questions that need to be addressed. They will serve as champions for business and assist with the oversight and implementation of the recommendations made by the advisory council.</p>","11/1/2013","Growing Economy, Innovative Government, Rawlings-Blake Review","Growing Economy, Innovative Government","The Rawlings-Blake Review"
"21st Century Schools","<p>Baltimore has thrived during tough economic times while many other cities throughout the nation have fallen short—thanks to tough decisions that keep the City moving forward. Some of those tough decisions have meant asking each of us to kick in a little more for the long term fiscal health of our city and to make sure that we are investing in the next generation. The bottle tax serves as prime example. The tax played a vital role in closing a massive budget deficit without cutting important city services; and more importantly, it was essential in securing a $1.1 billion investment in construction funds for Baltimore City schools.</p><p> When we increased the tax from 2 cents to 5 cents, I was clear that revenue from the tax would go toward making Baltimore City Public Schools facilities better. And thanks partly to this revenue, the City was able to double its annual commitment to school construction—from roughly $17 million annually to about $38 million dollars—the largest increase in local city funding for school construction in Baltimore’s history.</p><p> Our increased annual commitment enabled us to go to Annapolis with a stronger argument that Baltimore’s youth deserved more. As a result, during the 2013 Maryland General Assembly session, Baltimore secured a $1.1 billion investment for school construction.</p><p> The Baltimore City Public School Construction and Revitalization Act of 2013 is the most important legislative achievement for the city in decades. It represents a landmark renewal in the partnership between the City and the State to rebuild schools, ensuring that all kids are able to sit in a clean, modern and safe building. The funding is expected to support construction of as many as 15 new replacement schools and more than 30 significantly renovated schools over 10 years.</p><p> The legislation called for a memorandum of understanding between the City, State, Baltimore City Public Schools, and the Maryland Stadium Authority. The MOU—which formalizes the roles that each of these partners will play in the billion dollar plan to revitalize Baltimore’s schools—went before the Maryland Board of Public Works on Wednesday. It was unanimously approved.</p><p> But the plan doesn’t work without revenue streams like the bottle tax that support the $1.1 billion in bonds.</p><p> We are at the beginning of a very exciting time for Baltimore, but our vision of growing Baltimore by 10,000 families in the next decade depends greatly on our ability to improve public education. As mayor, and as mother of a public school student, I know how important education is. I will always continue to fight for better schools across Baltimore.</p>","10/18/2013","Better Schools, Innovative Government, Rawlings-Blake Review","Better Schools, Innovative Government","The Rawlings-Blake Review"
"Governing for the People","<p>The ongoing federal government shutdown has had a real and negative impact on our country. A partisan battle over our nation’s budget has ground our national government to a halt.</p><p> But at the local level, there is no time for drawn-out political battles to stop government from performing its basic duties. In local government, the only choice is to act, because failure means real and immediate consequences for your city. At the end of the day, everyone involved understands that there is an obligation to act when people depend on you to govern. You simply have to roll up your sleeves and get the job done. And in Baltimore, we seeing genuine benefits from the ways in which our governments are working for the people.</p><p> For example, to families who have struggled to find access to quality and affordable healthcare, the new federal Affordable Care Act means new options to access the healthcare they need. It means no longer having to fear bankruptcy because of a loved one’s illness or having to choose between putting food on the table and buying medication. And that’s outstanding news for more than 80,000 Baltimore citizens who have lacked healthcare access.</p><p> A Kaiser Family Foundation poll found that nearly 80% of Americans favor the benefits provided by the Affordable Care Act: health insurance exchanges, subsidies to help individuals purchase insurance, and the expansion of Medicaid—benefits that will help to insure families across Baltimore.</p><p> I encourage you to spend some time finding out for yourself what this law can do for you. Don’t listen to naysayers who would base their opinions more on politics than on what the legislation can do for low-income and middle class families. Take time to visit the website or speak with a professional who can help you make the best choice for you and your family.</p><p> In local government, positive reforms are happening as well. Earlier this week, I shared a series of steps that my administration has taken to reduce tax credit errors in Baltimore City. These errors, many of which occurred over ten years ago, have frustrated tax credit recipients and caused residents to lose confidence in government. I share those frustrations, and I realize how upsetting these errors can be. I want to ensure that city government is giving Baltimore’s citizens the most accurate information possible—particularly when it comes to their finances.</p><p> I was determined to not have my administration kick the can down the road and let another ten years go by before this problem was addressed. We have worked diligently and proactively to identify errors, and through the Billing Integrity Unit that I established, we have put mechanisms in place to crack down on mistakes. In just three years, the unit has identified more savings for Baltimore ($15 million) than was lost over the previous 10 years due to errors. Just this year alone, we have identified more than 1,300 errors.</p><p> I believe that these measures will go a long way toward building confidence in the City’s ability to provide correct tax bills and show hard working residents that my administration will not rest until the system is dramatically improved. Leveraging automated technology and more advanced techniques, the reforms will greatly reduce the possibility of tax errors caused by human mistakes and ensure that recipients get the right bill for their property.</p><p> In response to the original tax credit errors two resolutions were introduced in the City Council asking the administration to consider privatizing tax calculations and collections and to conduct an audit of the City’s tax programs.</p><p> I'm not opposed to audits; audits happen all the time in government. In fact, audits were taking place over the last 10 years—yet they still failed to fix this problem. While I share the Council’s concern and look forward to working with them in partnership to continue improving the system, we must give the reforms that have been put in place a chance to take full effect first so that Baltimore’s citizens will know if our reforms are heading in the right direction.</p><p> At the same time, we should be looking for areas where additional improvements can be made. Working together with the State Department of Assessments and Taxation, I know we can continue moving forward on critical improvements that the citizens of Baltimore deserve.</p>","10/11/2013","Innovative Government, Rawlings-Blake Review","Innovative Government","The Rawlings-Blake Review"
"Better Schools","<p>One week ago today, I joined with students at Frederick Elementary School to kick off the 2nd annual Mayor’s School Attendance Campaign. The competition will highlight community efforts to fight truancy in Baltimore City Schools and work with partners to encourage youth to get to school on time and ready to learn.</p><p> Each year, 15 percent of Baltimore City elementary students are chronically absent, missing more than 20 days of school over the course of the school year. Over the course of their first five years in school, 36 percent of Baltimore’s youngest students are chronically absent during at least one year.</p><p> Data from city schools confirm what we already know to be true: students who regularly make it to class perform better than students who don't come to school—specifically, 16 percent better in reading and 22 percent better in math during the 2012-2013 school year.</p><p> We want all of our children to succeed—which is why we started this attendance competition in partnership with a number of community sponsors. The theme of this year’s campaign is “It takes a Baltimore community to raise a child.” They may not all be our children by birth, but they are all our children by community—we are one Baltimore. Everyone in our city has a stake in making sure these kids succeed.</p><p> Throughout the school year, schools across the city will compete for fun and prizes. The school with the greatest improvement in attendance, as compared to the same period last year, will win exciting incentives that will benefit students, school administrators, and the community.</p><p> For the 2013 – 2014 competition program, schools within specified grade brackets will compete with one another. Brackets for pre-K – kindergarten and 1st – 8th grades will compete from September 30 to November 25. The 9th – 12th grade bracket will compete from March 3 – May 12. The winning school in each grade bracket will receive a monetary award. Students at the winning school will receive incentives to continue to build a stronger educational environment, like tickets to a Baltimore Blast game or a pizza party, and 100 lucky students from the winning school will get to attend a party celebrating their success.</p><p> This year’s campaign is made possible by our partners, including Comcast, Baltimore Blast, Under Armour, Port Discovery, and Domino’s Pizza.</p>","10/7/2013","Better Schools, Rawlings-Blake Review","Better Schools","The Rawlings-Blake Review"
