"Question","Text","Link 1 text","Link 1 url","Link 2 text","Link 2 url","Link 3 text","Link 3 url","Main Category","Sub Category","Entity","Tags (optional)","Link 4 text","Link 4 url","Link 5 text","Link 5 url","Internal notes",
"How do I get car sharing / Zipcar in my neighborhood?","In the last year Zipcar has added over 20 new vehicles to its Baltimore fleet – including new Zipvan cargo vans – and now offers 210 vehicles throughout the Baltimore area, including 100 vehicles in parking spots allocated through an agreement with the Parking Authority of Baltimore City. If you would like Zipcar in your neighborhood, please contact the Parking Authority at 443-573-2800. The Parking Authority works closely with Zipcar to place Zipcars on-street and in City-owned garages that meet the needs of Zipcar members and the community.  Suggestions for new locations can be made to the Parking Authority, Zipcar, your City Councilperson or Community Association.<br/>","Zipcar","https://www.zipcar.com",,,,,"Transportation & Streets","Bicycle/Pedestrian, Car Share",,,,,,,,
"How do I pay my parking ticket?","You can pay your parking ticket by mail, over the phone or online. ","Pay citation on line","http://cityservices.baltimorecity.gov/parkingfines/","Pay by mail or telephone","http://cityservices.baltimorecity.gov/paysys/","Parking Fines","http://finance.baltimorecity.gov/BureausandOffices/RevenueCollections/ParkingFinesListing.aspx","Public Safety & Law","Parking/Traffic Tickets","Parking Authority",,,,,,,
"How do I sign up for Zipcar?","In the last year Zipcar has added over 20 new vehicles to its Baltimore fleet – including new Zipvan cargo vans – and now offers 210 vehicles throughout the Baltimore area, including 100 vehicles in parking spots allocated through an agreement with the Parking Authority of Baltimore City. ","Zipcar","https://members.zipcar.com/registration/#step",,,,,"Transportation & Streets","Bicycle/Pedestrian, Car Share","Parking Authority",,,,,,,
"Where is my closest recreation center?","There are 38 recreation centers for your enjoyment and leisure activities throughout Baltimore. Each center offers a wide array of programs for children and adults. Some of the programs include relay games, movie days, cooking classes, talent shows, theatre productions, arts and crafts and gym activities. Some of the gym activities include, but are not limited to basketball, volleyball, soccer and weight training.","Find a rec center near you","http://cityview.baltimorecity.gov/cv/?extent=-8549751.36,4749085.30,-8506755.53,4779736.55&basemap=esricomm&basemapopacity=85&theme=rec_centers&thematicmapopacity=95","All rec centers","http://bcrp.baltimorecity.gov/Recreation/BCRPRecreationCenters.aspx",,,"Culture & Recreation","Parks & Rec Programs, Park Map, Park Reservations, Park Permits","Recreation and Parks",,,,,,,
"When does summer camp start?","Camp Baltimore starts Monday, June 23.<br/> CAMP BALTIMORE offers a variety of camp experiences for children ages 5-13. Camp Variety Therapeutic Camp reaches youth ages 5-21. Campers are engaged in arts and crafts, environmental projects, fitness, swimming, trips and more! Camps participate in the summer meals program which offers free meals to each participant. Before and after care are available at participating sites.","Dates for CAMP BALTIMORE","http://bcrp.baltimorecity.gov/Recreation/CampBaltimore.aspx",,,,,"Culture & Recreation","Parks & Rec Programs, Park Map, Park Reservations, Park Permits","Recreation and Parks",,,,,,,
"Where is my closest park? What amenities are in that park?","Baltimore City is proud to feature approximately 6,000 acres of parkland and public space. Within our city borders there are over 300,000 street trees and a large inventory of park trees. In one of the larger parks, you may find yourself in the middle of a beautiful country estate.","City Parks and Amenities","http://bcrp.baltimorecity.gov/ParksTrails.aspx","Find your nearest park","http://cityview.baltimorecity.gov/cv/?extent=-8554547.78,4740753.66,-8501959.11,4788068.19&basemap=esricomm&basemapopacity=85&theme=parks&thematicmapopacity=95",,,"Culture & Recreation","Parks & Rec Programs, Park Map, Park Reservations, Park Permits","Recreation and Parks",,,,,,,
"Can I pay/register online?","Unfortunately, we do not offer online registration. To register for recreation center sponsored activities please visit your local recreation center. To pay for permits, park pavilions or ball fields visit BCRP Headquarters in Druid Hill Park.","Find a rec center near you","http://cityview.baltimorecity.gov/cv/?extent=-8549751.36,4749085.30,-8506755.53,4779736.55&basemap=esricomm&basemapopacity=85&theme=rec_centers&thematicmapopacity=95",,,,,"Culture & Recreation","Parks & Rec Programs, Park Map, Park Reservations, Park Permits","Recreation and Parks",,,,,,,
"How do I rent a facility or park pavilion?","BCRP's special facilities provide a beautiful location for your wedding, party or corporate event. Please contact the location where you would like to host your event for more information. <br/> <br/> Our parks are some of the finest in the nation and offer a host of amenities at a reasonable cost. To rent a park pavilion, please call 410-396-7070. To rent a ball field please call 410-545-7409.","Park permits","http://bcrp.baltimorecity.gov/Permits.aspx","Renting Special Facilities","http://bcrp.baltimorecity.gov/AboutBCRP/Rentals.aspx","Ball field permits","http://bcrp.baltimorecity.gov/Permits/ParkEventPermits.aspx#athletic","Culture & Recreation","Parks & Rec Programs, Park Map, Park Reservations, Park Permits","Recreation and Parks",,,,,,,
"How do I get a park permit?","Baltimore City Recreation and Parks issues three types of Park Use Permits for events. <br/> 1) Special Events: Public or private events with more than 250 people or amplified sound.<br/> 2) Inner Harbor Event: For all events to be held at Inner Harbor venues. <br/> 3) Private Events: Not open to the public with attendance of less than 250 people. <br/> **Please use the proper application that corresponds to your event type.","Park Event Permits","http://bcrp.baltimorecity.gov/Permits/ParkEventPermits.aspx",,,,,"Culture & Recreation","Parks & Rec Programs, Park Map, Park Reservations, Park Permits","Recreation and Parks",,,,,,,
"What programs or events are happening at Recreation and Parks?","There is something for everyone at Baltimore City Recreation and Parks! Visit the BCRP Events page to see a calendar of events.","Rec and Parks events","http://bcrp.baltimorecity.gov/AboutBCRP/BCRPEvents.aspx",,,,,"Culture & Recreation","Parks & Rec Programs, Park Map, Park Reservations, Park Permits","Recreation and Parks",,,,,,,
"Where do I go if I need help finding a job?","The Employment Development (MOED) provides City residents with customized job search resources to help them reach their individual career goals. Job seekers come from diverse backgrounds and have varied occupational interests. Through a network of career centers and integrated employment programs, thousands of citizens every year access training and career counseling services, and job placement assistance.","Community Job Hubs","http://oedworks.com/jobseek/index.htm","Job listings with MOED","http://oedworks.com/jobseek/hotjobs.htm",,,"Government & Civil Services","City Agencies, Data, APIs, Employment, Education","Employment Development",,,,,,,
"I have a criminal record. Where do I go to start or build a career? ","The Northwest One-Stop Career Center, located in suite 302 at Mondawmin Mall, is one of three one-stop career centers that provide employment assistance to Baltimore citizens. The Northwest One-Stop Career Center is unique because it houses the Re-entry Center specializing in employment and other transition services for those returning from incarceration.",,,,,,,"Government & Civil Services","City Agencies, Data, APIs, Employment, Education","Employment Development",,,,,,,
"Are there job fairs or other events to help with employment?","Occasionally, MOED partners with employer(s) to host job fairs or other hiring events. Visit our Events web page to see scheduled events.","Calendar of Events","http://www.oedworks.com/whatsnew/","Job Seekers","http://www.oedworks.com/jobseek/index.htm",,,"Government & Civil Services","City Agencies, Data, APIs, Employment, Education","Employment Development",,,,,,,
"Does the City offer GED classes?","Yes. Please visit one of the three one-stop career centers located near you","One Stop Career Center Locations","http://www.oedworks.com/jobseek/career.htm",,,,,"Government & Civil Services","City Agencies, Data, APIs, Employment","Employment Development",,,,,,,
"How do I find or how does my child register for a summer job.","Online pre-registration is conducted for YouthWorks summer jobs from beginning of January through the middle of March preceding each summer","YouthWorks","http://www.oedworks.com/youthserv/summer.htm",,,,,"Government & Civil Services","City Agencies, Data, APIs, Employment","Employment Development",,,,,,,
"What employment services do you offer for businesses?","The Mayor’s Office of Employment  Development (MOED) coordinates and directs workforce development initiatives responsive to the needs of Baltimore City employers and job seekers in order to enhance and promote the local economy. ","MOED's Business Services","http://www.oedworks.com/empserv/index.htm",,,,,"Government & Civil Services","City Agencies, Data, APIs, Employment","Employment Development",,,,,,,
"I receive Social Services. Where can I find employment resources?","MOED's Workforce Reception Center is a full-service career center specifically for Baltimore residents who receive Temporary Assistance for Needy Families (TANF) benefits. The WRC helps move people from welfare to work by offering job search and placement assistance and enrolling participants in its supported work experience programs (community service and transitional employment) and other training and support service programs including, job readiness seminars and “dress for success” workshops. (Services are offered only by referral from the Baltimore City Department of Social Services.)","Workforce Reception Center",,"Baltimore City Department of Social Services","http://www.dhr.state.md.us/blog/?page_id=6335",,,"Social & Civic Services","Housing Assistance, Public Housing, Civil Marriage","Employment Development",,,,,,,
"How does CitiStat work?","The Office of CitiStat is a small, performance-based management group responsible for continually improving the quality of services provided to the citizens of Baltimore City. CitiStat evaluates policies and procedures practiced by City departments for delivering all manners of urban services from criminal investigation to pothole repair.","The CitiStat Process","http://www.baltimorecity.gov/Government/AgenciesDepartments/CitiStat/Process/LearnTheProcess.aspx",,,,,"Government & Civil Services","City Agencies, Data, APIs, Employment, Education","CitiStat",,,,,,,
"Can I visit CitiStat?",,"Take a (virtual) tour of the CitiStat room","http://www.baltimorecity.gov/Government/AgenciesDepartments/CitiStat/Process/TakeATour.aspx",,,,,"Government & Civil Services","City Agencies, Data, APIs, Employment, Education","CitiStat",,,,,,,
"What volunteering oppotunities are there in the City?","Baltimore is part of 'Cities of Service' -- a  bipartisan coalition of mayors who have committed to work together to engage citizens in a multi-year effort to address pressing city needs through impact volunteerism.There are many ways to volunteer with Baltimore City. Step Up Baltimore has several initiatives you can be a part of. Additional opportunities can be found by visiting the Volunteer Central web site.","Step Up Baltimore","http://stepup.baltimorecity.gov/Home.aspx","Volunteer Central","https://volunteer.truist.com/bvu-maryland/volunteer/search.aspx",,,"Government & Civil Services","City Agencies, Data, APIs, Employment, Education","stepUP! Baltimore",,,,,,,
"How do I apply to be a Baltimore City Youth Commissioner?","Baltimore City Youth Commissioners are appointed by the Mayor and City Council. Members of the Youth Commission represent the 14 council districts. To become a Youth Commissioner, you'll need to contact the Office of Mayor Stephanie Rawlings-Blake by emailing Sabrina Sutton. sabrina.sutton@baltimorecity.gov","Baltimore City Youth Commission","http://www.baltimorecity.gov/Government/BoardsandCommissions/YouthCommission.aspx",,,,,"Government & Civil Services","Mayor and City Council, Boards & Commissions","Youth Commission",,,,,,,
"What district do I live in?","Baltimore city has 14 city council districts","Look Up Council District","http://cityservices.baltimorecity.gov/citycouncil/","2011 Council Districts","http://www.baltimorecitycouncil.com/PDF_Files/2011/council_districts_2011_new.pdf",,,"Government & Civil Services","Mayor and City Council, Boards & Commissions","City Council",,,,,,,
"What does the Baltimore City Youth Commission do?","<br/>The Youth Commissioners work together to accomplish these tasks:</p><p>Developing and maintaining a three-year action plan outlining areas for study by the commission<br/>Reviewing issues relating to programs and services for children and youth<br/>Identifying and recommending priorities among programs and services for children and youth<br/>Creating a forum for discussions with children, youth, and their families<br/>Advocating for services and programs for children and youth<br/>Making recommendations for programs, policies, and any necessary legislation to promote the health and well-being of children, youth, and their families<br/>Work with both the public and private sector to bring forth the concerns of children and youth, as well as, evaluate programming that will enhance the development of children and youth<br/>Develop a communication network to disseminate information about services to children and youth<br/>Submit an annual report to the Mayor and the City Council","About the Youth Commission","http://www.baltimorecity.gov/Government/BoardsandCommissions/YouthCommission/AboutUs.aspx",,,,,"Government & Civil Services","Mayor and City Council, Boards & Commissions","Youth Commission",,,,,,,
"Do you have to be a Baltimore City resident to apply for the Youth Commission?","Members of the Youth Commission represent the 14 council districts. Each voting member MUST be a resident of Baltimore City. The Youth Commission will also be comprised of an additional 14 non-voting members. These non-voting members will be deputy commissioners. ","About the Youth Commission","http://www.baltimorecity.gov/Government/BoardsandCommissions/YouthCommission/AboutUs.aspx",,,,,"Government & Civil Services","Mayor and City Council, Boards & Commissions","Youth Commission",,,,,,,
"Where can I find the City Council hearing schedule?","Meetings of the Baltimore City Council are held at 5:00 pm in the Clarence ""Du"" Burns Council Chamber, City Hall - 4th Floor, 100 North Holliday Street. This schedule is subject to change as the City Council deems necessary. City Council meetings are televised on cable channel 25. They are telecast live at 5:00 pm on meeting dates and replayed at 12:00 noon on the following Tuesday. Wednesday night committee hearings are telecast live at 5:00 pm and replayed at 12:00 noon on the following Thursday.","Legislative Calendar","http://baltimorecitycouncil.com/legislative_calendar.htm","Council Meeting Schedule","http://www.baltimorecitycouncil.com/meeting_schedule.htm",,,"Government & Civil Services","Mayor and City Council, Boards & Commissions","City Council",,,,,,,
"Where can I find Baltimore City legislation and/ or bills?","Baltimore City's legislation and bills can be searched on the Baltimore City Council website.","Baltimore City Council Legislative Look Up","http://legistar.baltimorecitycouncil.com/mattersearch/","State of Maryland Legislation from the General Assembly","http://mgaleg.maryland.gov/webmga/frm1st.aspx?tab=home",,,"Government & Civil Services","Mayor and City Council, Boards & Commissions","City Council",,,,,,,
"How to I request ceremonial letters / proclamations from the City Council?","The Baltimore City Council accepts requests for Ceremonial Resolutions. Requests (except condolences) must be received no later than 10 days before the certificate is needed. Only typed requests will be accepted. The City Council does not issue proclamations or dedicate holidays. Please contact the Baltimore City Mayor’s office for such requests.<br/>","Download Ceremonial Request Form","http://www.baltimorecitycouncil.com/PDF_Files/2013/CeremonialResolutionRequestForm.docx",,,,,"Government & Civil Services","Mayor and City Council, Boards & Commissions",,,,,,,,
"How do I file a financial disclosure with the Ethics Board? ","The City's Ethics Law requires City officials, certain employees and those appointed to boards and commissions to file annual financial disclosure statements. These disclosures available to the public. Financial disclosures can be filled out and submitted on line through a secure web portal.","Electronic Filing of Disclosure Form","https://ethicsforms.baltimorecity.gov/","Baltimore City Ethics Code","http://www.baltimorecity.gov/Portals/0/Charter%20and%20Codes/Code/Art%2008%20-%20Ethics.pdf",,,"Government & Civil Services","Mayor and City Council, Boards & Commissions","Ethics Board",,,,,,,
"How do I register as a lobbyist with the City?","The City's Ethics Law requires legislative- and executive-branch lobbyists to file registration statements and periodic activity reports and areopen to public inspection","Lobbying Registration Form","http://www.baltimorecity.gov/Portals/0/agencies/ethics/public%20downloads/Ethics813-%20LobbyRegn.pdf","Baltimore City Ethics Code","http://www.baltimorecity.gov/Portals/0/Charter%20and%20Codes/Code/Art%2008%20-%20Ethics.pdf",,,"Government & Civil Services","Mayor and City Council, Boards & Commissions","Ethics Board",,,,,,"(also generally requested by non-City employees)",
"Where cand I find a list of registered lobbyists?","The City's Ethics Law requires legislative- and executive-branch lobbyists to file registration statements. A list of registered lobbyists is available at the Department of Legislative Reference in City Hall on the sixth floor.",,,"Baltimore City Ethics Code","http://www.baltimorecity.gov/Portals/0/Charter%20and%20Codes/Code/Art%2008%20-%20Ethics.pdf",,,"Government & Civil Services","Mayor and City Council, Boards & Commissions",,,,,,,,
"Where is my nearest library branch?","The Enoch Pratt Free Library is one of the oldest free public library systems in the United States. The Pratt has branches to serve the residents of Baltimore throughout the city.","Enoch Pratt Library Branch Locations","http://www.prattlibrary.org/locations/",,,,,"Government & Civil Services","Mayor and City Council, Boards & Commissions","Enoch Pratt Free Library",,,,,,,
"How do I compose/submit a victom impact statement?","Individuals who live in a community where a crime has occurred have the right to submit what are known as community impact statements, and the State's Attorney's Office strongly encourages community residents to exercise this important right.","Sample Impact Statement ","http://www.stattorney.org/sample-community-impact-statement.html",,,,,"Public Safety & Law","Order of Protection, Victims and Witnesses","State's Attorney",,,,,,,
"How do I get an incident report for a fire or an emergency medical incident?","The Baltimore City Fire Department investigates and produces a report on any fire or when someone is treated and transported to a hospital. To obtain a report, you can mail a request to the Fire Department at 401 E. Fayette St, Sixth Floor, Baltimore, MD 21202 ATTN: Incident Reports or you can visit the same location to obtain a report. The cost is $25 payable by check or money order.","Baltimore City Fire Department","http://www.baltimorecity.gov/Government/AgenciesDepartments/Fire.aspx",,,,,"Public Safety & Law","Order of Protection, Victims and Witnesses","Fire Department",,,,,,,
"How do I get a fire fighter or fire truck to visit my school? ","The Baltimore City Fire Department encourages teachers and schools to invite BCFD to talk about fire safety, smoke alarms, fire prevention and even teach hands-only CPR. To have a BCFD firefighter or apparatus visit your school, please contact BCFD Community Outreach by emailing Capt. Deirdre Weems (deirdre.weems@baltimorecity.gov)</p><p>The Office of the Fire Marshal presents lifesaving information which also includes Fire Safety. Presentations include, but are not limited to, Pre-fire Planning, Fire Drills, Safe exits way out (TWO), Meeting Places, (Once Out-Stay Out), Working Smoke Detectors (one on every floor including the basement), keeping matches & lighters out of the reach of minors, Heating equipment safety (space heaters, Kerosene, portable etc.) and other issues that may arise.","BCFD Fire Education","http://www.baltimorecity.gov/Government/AgenciesDepartments/Fire/Education.aspx","Fire Saftey and Prevention","http://www.baltimorecity.gov/Government/AgenciesDepartments/Fire/SafetyandPrevention.aspx",,,"Public Safety & Law"," Fire, Police, Emergency Management","Fire Department",,,,,,,
"Can I pay my fire related code enforcement fees online? ","At this time, fees cannot be paid online. To make a payment, please contact the Office of the Fire Marshal at 410.396.5752","Baltimore City Licenses and Permits","http://permits.baltimorecity.gov/",,,,,"Fire Department"," Fire, Police, Emergency Management","Fire Department",,,,,,,
"Where can I read the fire code?","You can view the Building, Fire, and Related Codes publication which is part of the Baltimore City Code. ","Baltimore City Code","http://www.baltimorecity.gov/Government/CityCharterCodes.aspx","Building and Fire Code (PDF)","http://www.baltimorecity.gov/Portals/0/Charter%20and%20Codes/Code/Art%2000%20-%20Bldg,%20Fire.pdf",,,"Fire Department","Fire / Code Enforcement","Fire Department",,,,,,,
"How do I join the Baltimore City Fire Department?","All Inquiries should be directed to the Baltimore City Fire Department’s Community Outreach, Recruitment and Education Division located at 401 E. Fayette Street 6th. fl. (443-984-3878 or 443-984-2632) Email bcfd.core@baltimorecity.gov","BCFD Recruitment","http://www.baltimorecity.gov/Government/AgenciesDepartments/Fire/Recruitment.aspx",,,,,"Government & Civil Services","Government & Civil Services","City Agencies, Data, APIs, Employment, Education",,,,,,,
"How do I contact the State's Attorney's office?","You can contact their office by calling 443-984-6000 or by sending your e-mail to mail@stattorney.org","Office of the State's Attorney for Baltimore City","http://www.stattorney.org/contact-us.html",,,,,"Public Safety & Law","District Court, Circuit Court, State's Attorney, Sherrif's Department","Criminal Justice",,,,,,,
"How do I contact the Baltimore City Police Department?","For any emergency please call 9-1-1. If you have a specific question about your neighborhood please call your Patrol District office.","Baltimore City Police Patrol Districts","http://baltimorepolice.org/contact-us/telephone-numbers/contact-a-patrol-district",,,,,"Public Safety & Law"," Fire, Police, Emergency Management, Office of Mayor Stephanie Rawlings-Blake of Criminal Justice","Criminal Justice","patrol districts",,,,,,
"Where can I find information about CitiWatch cameras?","CitiWatch Services provides state-of-the-art CCTV cameras throughout the City of Baltimore in an effort to assist Police and other City agencies with public safety. The cameras are monitored 24 hours a day and 365 days a year by certfied CCTV monitors with law enforcement backgrounds. The following links provide more information about CitiWatch Services and all camera locations. If you would like to request a camera in your neighborhood contact your Patrol District office.","CitiWatch Services","http://moit.baltimorecity.gov/Divisions/CitiWatchServices.aspx","OpenBaltimore - CitiWatch Camera Locations","https://data.baltimorecity.gov/browse?q=Cameras&sortBy=relevance&utf8=%E2%9C%93","Baltimore City Police Patrol Districts","http://baltimorepolice.org/contact-us/telephone-numbers/contact-a-patrol-district","Public Safety & Law"," Fire, Police, Emergency Management, Office of Mayor Stephanie Rawlings-Blake of Criminal Justice","Criminal Justice","cameras",,,,,,
"How do I get a protective order?","If you have been a victim of domestic violence and are interested in seeking a protect order you can find more information on the Office of Mayor Stephanie Rawlings-Blake on Criminal Justice's (MOCJ) web site. There are several organizations in Baltimore providing assistance to victims of domestic violence who can help navigate the process and provide additional resources. You can also visit the MOCJ web site to see a full list of organizations and their contact information. Here are two organizations from that list that can help; Turnaround Inc. 443-279-0379, House of Ruth 410-889-7884. ","Office of Mayor Stephanie Rawlings-Blake of Criminal Justice, Domestic Violence Resources","http://mocj.baltimorecity.gov/DomesticViolenceResources/ProtectiveOrders.aspx","Turnaround, Inc","http://www.turnaroundinc.org","House of Ruth","http://www.hruth.org","Public Safety & Law","Protective Orders, Victims and Witnesses","Criminal Justice","domestic violence",,,,,,
"How do I get assistance with legal matters?","There are several organizations offering pro-bono legal services to Baltimore City residents. If you are unable to afford representation these organizations can help: Legal Aid Bureau, Inc. 410-951-7777, Pro Bono Resource Center of Maryland 410-837-9379, Homeless Persons Representation Project, Inc. 410-685-6589 ext. 114, House of Ruth Domestic Violence Legal Clinic 410-554-8463, Maryland Volunteer Lawyers Service, Inc. 410-547-6537, St. Ambrose Legal Services 410-366-8550 ext. 249.","Legal Aid Bureau, Inc.","http://www.mdlab.org","Pro Bono Resource Center of Maryland","http://www.probonomd.org","Homeless Persons Representation Project, Inc.","http://www.hprplaw.org","Public Safety & Law","District Court, Circuit Court, State's Attorney, Sherrif's Department","Criminal Justice","lawyers","House of Ruth Domestic Violence Legal Clinic","http://www.hruth.org/legal-clinic.asp","Maryland Volunteer Lawyers Service, Inc.","http://www.mvlslaw.org","St. Ambrose Legal Services","http://www.stambros.org/pages/legalservices.html"
"Where can I find information about Operation Crime Watch?","Operation Crime Watch is designed to prevent and reduce crime in Baltimore by creating and supporting neighborhood-based block watch and citizen patrol programs through a partnership between the citizens of Baltimore, the Office of Mayor Stephanie Rawlings-Blake on Criminal Justice, the Baltimore City Police Department and the Washington/Baltimore High Intensity Drug Trafficking Area (HIDTA). Citizens and police officers will support each other in preventing and reducing crime thorugh more effective communication and by creating problem-solving relationships appropriate to each community.","Four Steps To Fighting Crime","http://crime.baltimorecity.gov/Home.aspx",,,,,"Public Safety & Law"," Fire, Police, Emergency Management, Office of Mayor Stephanie Rawlings-Blake of Criminal Justice","Criminal Justice","crime, crime prevention, reduce crime",,,,,,
